,roll_no,name,exam1,exam2,final_exam,class,obtain,total,per,grades
0,SMIT/DSAI/001,David Iqbal,20,16,35,DSAI,71,100,71.0,B
1,SMIT/DSAI/002,Ahmed Ahmed,13,7,40,DSAI,60,100,60.0,B
2,SMIT/DSAI/003,John Zahid,13,24,47,DSAI,84,100,84.0,A
3,SMIT/DSAI/004,David Brown,0,15,24,DSAI,39,100,39.0,F
4,SMIT/DSAI/005,Fatima Khan,20,8,6,DSAI,34,100,34.0,F
5,SMIT/DSAI/006,Ayesha Ali,4,21,50,DSAI,75,100,75.0,B
6,SMIT/DSAI/007,Michael Brown,25,13,4,DSAI,42,100,42.0,C
7,SMIT/DSAI/008,Fatima Smith,23,2,8,DSAI,33,100,33.0,F
8,SMIT/DSAI/009,David Hussain,21,1,41,DSAI,63,100,63.0,B
9,SMIT/DSAI/010,Ali Ali,21,22,22,DSAI,65,100,65.0,B
10,SMIT/DSAI/011,Ahmed Johnson,1,18,33,DSAI,52,100,52.0,C
11,SMIT/DSAI/012,Michael Hussain,0,15,15,DSAI,30,100,30.0,F
12,SMIT/DSAI/013,Sara Smith,20,7,6,DSAI,33,100,33.0,F
13,SMIT/DSAI/014,Noor Malik,7,14,10,DSAI,31,100,31.0,F
14,SMIT/DSAI/015,Ahmed Zahid,0,19,27,DSAI,46,100,46.0,C
15,SMIT/DSAI/016,Hina Johnson,18,25,9,DSAI,52,100,52.0,C
16,SMIT/DSAI/017,David Zahid,8,6,26,DSAI,40,100,40.0,C
17,SMIT/DSAI/018,Sara Ali,20,13,23,DSAI,56,100,56.00000000000001,C
18,SMIT/DSAI/019,Michael Zahid,20,20,25,DSAI,65,100,65.0,B
19,SMIT/DSAI/020,John Hussain,14,25,1,DSAI,40,100,40.0,C
20,SMIT/DSAI/021,Hina Brown,21,11,26,DSAI,58,100,57.99999999999999,C
21,SMIT/DSAI/022,Noor Ali,17,9,16,DSAI,42,100,42.0,C
22,SMIT/DSAI/023,Ayesha Johnson,21,16,10,DSAI,47,100,47.0,C
23,SMIT/DSAI/024,Hina Zahid,9,17,24,DSAI,50,100,50.0,C
24,SMIT/DSAI/025,Hina Malik,22,14,25,DSAI,61,100,61.0,B
25,SMIT/DSAI/026,David Ali,10,19,10,DSAI,39,100,39.0,F
26,SMIT/DSAI/027,Fatima Hussain,13,0,13,DSAI,26,100,26.0,F
27,SMIT/DSAI/028,Michael Brown,1,6,8,DSAI,15,100,15.0,F
28,SMIT/DSAI/029,Ayesha Hussain,2,25,35,DSAI,62,100,62.0,B
29,SMIT/DSAI/030,David Malik,12,21,17,DSAI,50,100,50.0,C
30,SMIT/DSAI/031,Sara Zahid,6,1,16,DSAI,23,100,23.0,F
31,SMIT/DSAI/032,John Khan,15,24,28,DSAI,67,100,67.0,B
32,SMIT/DSAI/033,Ahmed Ali,8,6,17,DSAI,31,100,31.0,F
33,SMIT/DSAI/034,David Malik,21,1,27,DSAI,49,100,49.0,C
34,SMIT/DSAI/035,Ayesha Zahid,25,0,11,DSAI,36,100,36.0,F
35,SMIT/DSAI/036,Ayesha Smith,1,16,42,DSAI,59,100,59.0,C
36,SMIT/DSAI/037,Ahmed Johnson,24,12,25,DSAI,61,100,61.0,B
37,SMIT/DSAI/038,Ahmed Zahid,24,11,17,DSAI,52,100,52.0,C
38,SMIT/DSAI/039,Noor Zahid,18,13,49,DSAI,80,100,80.0,A
39,SMIT/DSAI/040,David Hussain,21,2,18,DSAI,41,100,41.0,C
40,SMIT/DSAI/041,Fatima Zahid,18,0,25,DSAI,43,100,43.0,C
41,SMIT/DSAI/042,John Ali,22,13,12,DSAI,47,100,47.0,C
42,SMIT/DSAI/043,Ahmed Ahmed,23,2,11,DSAI,36,100,36.0,F
43,SMIT/DSAI/044,Ahmed Brown,7,7,26,DSAI,40,100,40.0,C
44,SMIT/DSAI/045,Ayesha Ali,15,0,10,DSAI,25,100,25.0,F
45,SMIT/DSAI/046,John Iqbal,1,4,26,DSAI,31,100,31.0,F
46,SMIT/DSAI/047,Fatima Hussain,22,21,4,DSAI,47,100,47.0,C
47,SMIT/DSAI/048,David Brown,7,16,11,DSAI,34,100,34.0,F
48,SMIT/DSAI/049,Sara Khan,22,5,35,DSAI,62,100,62.0,B
49,SMIT/DSAI/050,Fatima Smith,17,4,49,DSAI,70,100,70.0,B
50,SMIT/DSAI/051,John Malik,18,14,49,DSAI,81,100,81.0,A
51,SMIT/DSAI/052,Hina Khan,12,22,27,DSAI,61,100,61.0,B
52,SMIT/DSAI/053,Ali Iqbal,19,20,25,DSAI,64,100,64.0,B
53,SMIT/DSAI/054,Ahmed Johnson,23,16,9,DSAI,48,100,48.0,C
54,SMIT/DSAI/055,Ahmed Ali,23,10,28,DSAI,61,100,61.0,B
55,SMIT/DSAI/056,Ahmed Khan,11,1,15,DSAI,27,100,27.0,F
56,SMIT/DSAI/057,Hina Ali,10,12,32,DSAI,54,100,54.0,C
57,SMIT/DSAI/058,Ahmed Johnson,1,24,41,DSAI,66,100,66.0,B
58,SMIT/DSAI/059,John Ali,24,17,34,DSAI,75,100,75.0,B
